pin,val
560002,2938
560003,71
560004,293
560005,327
560006,78
560007,3
560008,2
560009,906
560010,102
560012,246
560013,1
560014,44
560015,1
560016,67
560017,726
560018,356
560019,126
560020,63
560021,65
560022,43
560023,89
560024,25
560025,75
560026,121
560027,89
560029,75
560030,274
560032,86
560033,192
560034,81
560035,307
560036,45
560037,159
560039,963
560040,22
560041,158
560042,115
560043,17
560045,593
560046,229
560047,81
560048,509
560049,417
560050,139
560051,214
560053,444
560054,218
560055,45
560056,13
560057,141
560058,26
560060,104
560061,241
560062,224
560063,168
560064,4
560065,196
560066,15
560067,257
560068,158
560070,572
560071,56
560072,317
560073,41
560075,22
560076,295
560077,479
560078,11
560079,484
560080,124
560082,13
560083,3
560084,96
560085,108
560086,91
560087,158
560090,199
560091,2
560092,75
560093,148
560094,254
560095,55
560096,101
560097,29
560098,145
560099,197
560100,7
560102,265
560103,304
560104,661
560105,28
561203,2
562109,2
562110,1
562114,12
562123,1
562125,81
562129,2
562130,5
562149,1
562157,26
562300,1
